Transaction_ID,Transaction_Date,Region,Country,Business_Unit,Product_Category,Product_Name,Customer_Segment,Sales_Channel,Units_Sold,Unit_Price,Revenue,Cost,Profit,Profit_Margin,Discount_Percentage,Customer_Rating,Quarter,Year
TX-2024-00036,2025-04-19,Asia-Pacific,Singapore,Consumer Hardware,GPU Accelerators,Radeon RX 7900 XTX,Enterprise,Online Partner,20,1018.22,19346.18,14662.4,4683.78,0.2421,5.0,4.2,Q2,2025
TX-2024-00037,2024-10-11,North America,United States,Consumer Hardware,Workstations,ROCm Dev Station,Enterprise,Direct Sales,3,3409.95,9718.36,6956.31,2762.05,0.2842,5.0,4.7,Q4,2024
TX-2024-00038,2025-08-24,North America,United States,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Enterprise,Direct Sales,14,204.21,2858.94,2287.18,571.76,0.2,0.0,3.2,Q3,2025
TX-2024-00039,2026-05-18,Asia-Pacific,Singapore,Enterprise Solutions,Security Systems,ROCm Guard AI,Mid-Market,Online Partner,18,864.1,15553.8,6221.52,9332.28,0.6,0.0,4.5,Q2,2026
TX-2024-00040,2024-02-06,North America,United States,Enterprise Solutions,AI Software,ExecuDeck Core,SMB,Online Partner,15,450.93,6763.95,1690.95,5073.0,0.75,0.0,4.4,Q1,2024
TX-2024-00041,2025-09-03,North America,United States,Cloud Services,AI Training API,Qwen API Credits,SMB,Direct Sales,21,10.04,200.3,42.21,158.09,0.7893,5.0,4.4,Q3,2025
TX-2024-00042,2024-04-08,Europe,Italy,Cloud Services,Compute Clusters,AMD GPU Node Hour,SMB,Online Partner,768,2.44,1686.53,936.96,749.57,0.4444,10.0,4.7,Q2,2024
TX-2024-00043,2026-04-22,North America,Canada,Cloud Services,Storage Nodes,Secure Vault S3,SMB,Distributor,13493,0.05,640.92,269.86,371.06,0.5789,5.0,4.9,Q2,2026
TX-2024-00044,2026-03-05,Asia-Pacific,Japan,Consumer Hardware,Workstations,ROCm Dev Station,Mid-Market,Direct Sales,1,3472.83,3125.55,2361.52,764.03,0.2444,10.0,4.2,Q1,2026
TX-2024-00045,2025-03-20,North America,United States,Enterprise Solutions,AI Software,ExecuDeck Core,Mid-Market,Distributor,4,443.35,1773.4,443.36,1330.04,0.75,0.0,4.5,Q1,2025
TX-2024-00046,2025-10-21,North America,United States,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,SMB,Online Partner,18,194.02,3317.74,2793.96,523.78,0.1579,5.0,2.4,Q4,2025
TX-2024-00047,2024-03-20,Europe,France,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Government,Direct Sales,19,195.01,3705.19,2964.19,741.0,0.2,0.0,3.4,Q1,2024
TX-2024-00048,2025-05-27,Europe,Germany,Cloud Services,AI Training API,Qwen API Credits,Enterprise,Online Partner,11,10.27,101.67,22.55,79.12,0.7782,10.0,3.9,Q2,2025
TX-2024-00049,2024-12-13,Europe,Italy,Enterprise Solutions,AI Software,Qwen Enterprise Suite,Enterprise,Online Partner,14,1182.72,16558.08,4967.48,11590.6,0.7,0.0,4.8,Q4,2024
TX-2024-00050,2024-07-19,North America,Canada,Enterprise Solutions,AI Software,ExecuDeck Core,Mid-Market,Direct Sales,4,458.71,1651.36,458.72,1192.64,0.7222,10.0,4.1,Q3,2024
TX-2024-00051,2026-04-03,Asia-Pacific,Australia,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,Enterprise,Direct Sales,1,14982.33,11236.75,9738.51,1498.24,0.1333,25.0,5.0,Q2,2026
TX-2024-00052,2024-10-08,North America,Canada,Enterprise Solutions,AI Software,Qwen Enterprise Suite,SMB,Online Partner,10,1193.87,11938.7,3581.6,8357.1,0.7,0.0,4.6,Q4,2024
TX-2024-00053,2026-05-12,Asia-Pacific,Australia,Cloud Services,AI Training API,Qwen API Credits,Mid-Market,Online Partner,11,9.93,109.23,21.89,87.34,0.7996,0.0,4.6,Q2,2026
TX-2024-00054,2024-01-01,Latin America,Brazil,Cloud Services,Compute Clusters,AMD GPU Node Hour,Enterprise,Distributor,187,2.48,463.76,231.88,231.88,0.5,0.0,5.0,Q1,2024
TX-2024-00055,2024-11-01,Asia-Pacific,India,Cloud Services,Compute Clusters,AMD GPU Node Hour,Government,Direct Sales,810,2.45,1984.5,996.3,988.2,0.498,0.0,4.6,Q4,2024
TX-2024-00056,2026-05-02,Europe,France,Enterprise Solutions,AI Software,Qwen Enterprise Suite,Enterprise,Direct Sales,7,1207.78,7609.01,2536.31,5072.7,0.6667,10.0,4.6,Q2,2026
TX-2024-00057,2024-09-05,Europe,Italy,Consumer Hardware,GPU Accelerators,Radeon RX 7900 XTX,Government,Direct Sales,18,1025.94,18466.92,13296.24,5170.68,0.28,0.0,4.5,Q3,2024
TX-2024-00058,2024-11-25,Asia-Pacific,Singapore,Consumer Hardware,GPU Accelerators,Radeon RX 7900 XTX,Mid-Market,Distributor,19,981.57,17717.34,13427.87,4289.47,0.2421,5.0,3.8,Q4,2024
TX-2024-00059,2026-04-27,North America,Canada,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,SMB,Direct Sales,4,203.47,773.19,651.12,122.07,0.1579,5.0,4.0,Q2,2026
TX-2024-00060,2024-03-01,North America,United States,Enterprise Solutions,Analytics Tools,InsightEngine Pro,SMB,Direct Sales,23,341.36,7851.28,2355.43,5495.85,0.7,0.0,4.2,Q1,2024
TX-2024-00061,2024-03-18,North America,United States,Consumer Hardware,Workstations,ROCm Dev Station,Enterprise,Online Partner,3,3502.45,10507.35,7145.01,3362.34,0.32,0.0,4.0,Q1,2024
TX-2024-00062,2024-12-02,North America,United States,Cloud Services,AI Training API,Qwen API Credits,Enterprise,Online Partner,22,9.92,218.24,43.56,174.68,0.8004,0.0,4.2,Q4,2024
TX-2024-00063,2024-12-30,North America,United States,Cloud Services,Storage Nodes,Secure Vault S3,Enterprise,Online Partner,10625,0.05,478.12,212.5,265.62,0.5556,10.0,3.3,Q4,2024
TX-2024-00064,2024-01-15,North America,United States,Enterprise Solutions,Analytics Tools,InsightEngine Pro,Enterprise,Direct Sales,7,341.37,2150.63,716.87,1433.76,0.6667,10.0,4.3,Q1,2024
TX-2024-00065,2025-01-28,Asia-Pacific,Japan,Cloud Services,Compute Clusters,AMD GPU Node Hour,Mid-Market,Online Partner,658,2.54,1671.32,835.66,835.66,0.5,0.0,3.8,Q1,2025
TX-2024-00066,2025-02-28,North America,Canada,Enterprise Solutions,Analytics Tools,InsightEngine Pro,Mid-Market,Online Partner,36,346.44,5050.27,3741.48,1308.79,0.2592,59.5,4.3,Q1,2025
TX-2024-00067,2024-12-15,North America,Canada,Cloud Services,Storage Nodes,Secure Vault S3,SMB,Direct Sales,6197,0.05,263.37,123.94,139.43,0.5294,15.0,3.3,Q4,2024
TX-2024-00068,2024-11-17,Europe,France,Enterprise Solutions,Security Systems,Network Shield Pro,Government,Distributor,10,606.07,5454.63,2121.2,3333.43,0.6111,10.0,3.4,Q4,2024
TX-2024-00069,2024-10-26,North America,Canada,Consumer Hardware,GPU Accelerators,Radeon RX 7900 XTX,Enterprise,Direct Sales,18,1000.79,15312.09,12970.26,2341.83,0.1529,15.0,4.9,Q4,2024
TX-2024-00070,2025-07-03,Europe,France,Consumer Hardware,Workstations,ROCm Dev Station,Government,Direct Sales,2,3465.69,6931.38,4713.34,2218.04,0.32,0.0,4.3,Q3,2025
TX-2024-00071,2025-09-04,North America,United States,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,Mid-Market,Online Partner,2,14646.03,26362.85,19039.84,7323.01,0.2778,10.0,5.0,Q3,2025
TX-2024-00072,2024-11-29,Latin America,Brazil,Enterprise Solutions,AI Software,ExecuDeck Core,Government,Direct Sales,13,455.98,5927.74,1482.0,4445.74,0.75,0.0,4.8,Q4,2024
TX-2024-00073,2026-04-07,North America,United States,Consumer Hardware,Workstations,ROCm Dev Station,Enterprise,Direct Sales,2,3470.35,5552.56,4719.68,832.88,0.15,20.0,4.8,Q2,2026
TX-2024-00074,2024-10-22,Europe,Italy,Enterprise Solutions,Security Systems,Network Shield Pro,Enterprise,Online Partner,24,597.79,13629.61,5021.52,8608.09,0.6316,5.0,4.4,Q4,2024
TX-2024-00075,2026-03-31,Latin America,Brazil,Enterprise Solutions,Analytics Tools,InsightEngine Pro,Mid-Market,Direct Sales,20,346.53,6930.6,2079.2,4851.4,0.7,0.0,3.5,Q1,2026
TX-2024-00076,2025-10-30,Europe,Germany,Enterprise Solutions,AI Software,ExecuDeck Core,Government,Online Partner,2,455.59,865.62,227.8,637.82,0.7368,5.0,4.9,Q4,2025
TX-2024-00077,2025-05-31,Asia-Pacific,Japan,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,Enterprise,Online Partner,1,14664.74,14664.74,9532.08,5132.66,0.35,0.0,4.5,Q2,2025
TX-2024-00078,2024-09-17,Europe,Italy,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,SMB,Online Partner,20,199.78,3795.82,3196.4,599.42,0.1579,5.0,2.7,Q3,2024
TX-2024-00079,2024-01-23,Europe,Germany,Enterprise Solutions,AI Software,ExecuDeck Core,Mid-Market,Distributor,16,453.01,7248.16,1812.0,5436.16,0.75,0.0,4.3,Q1,2024
TX-2024-00080,2025-04-04,North America,Canada,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,SMB,Distributor,11,202.24,2224.64,1779.69,444.95,0.2,0.0,3.1,Q2,2025
TX-2024-00081,2024-12-11,Asia-Pacific,India,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,SMB,Direct Sales,2,15082.15,30164.3,19606.8,10557.5,0.35,0.0,4.7,Q4,2024
TX-2024-00082,2024-05-16,North America,United States,Enterprise Solutions,Analytics Tools,InsightEngine Pro,Enterprise,Direct Sales,12,358.88,4091.23,1291.92,2799.31,0.6842,5.0,4.5,Q2,2024
TX-2024-00083,2026-05-25,Latin America,Mexico,Consumer Hardware,Workstations,ROCm Dev Station,Enterprise,Online Partner,4,3460.41,13149.56,9412.32,3737.24,0.2842,5.0,4.8,Q2,2026
TX-2024-00084,2025-10-27,North America,United States,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,Mid-Market,Distributor,2,14923.16,29846.32,19400.1,10446.22,0.35,0.0,5.0,Q4,2025
TX-2024-00085,2024-05-20,North America,United States,Enterprise Solutions,Security Systems,ROCm Guard AI,Enterprise,Distributor,18,826.36,14874.48,5949.72,8924.76,0.6,0.0,4.3,Q2,2024
TX-2024-00086,2024-01-18,North America,United States,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,Mid-Market,Online Partner,2,14997.31,28494.89,19496.5,8998.39,0.3158,5.0,4.7,Q1,2024
TX-2024-00087,2025-10-04,North America,Canada,Cloud Services,Compute Clusters,AMD GPU Node Hour,Government,Online Partner,254,2.45,591.19,312.42,278.77,0.4715,5.0,4.5,Q4,2025
TX-2024-00088,2026-04-12,Europe,France,Enterprise Solutions,AI Software,Qwen Enterprise Suite,Enterprise,Online Partner,23,1188.43,25967.2,8200.19,17767.01,0.6842,5.0,5.0,Q2,2026
TX-2024-00089,2026-03-13,North America,Canada,Cloud Services,AI Training API,Qwen API Credits,Mid-Market,Distributor,21,10.1,212.1,42.42,169.68,0.8,0.0,4.7,Q1,2026
TX-2024-00090,2024-01-07,Europe,United Kingdom,Enterprise Solutions,Security Systems,ROCm Guard AI,Enterprise,Direct Sales,4,857.29,2914.79,1371.68,1543.11,0.5294,15.0,3.7,Q1,2024
TX-2024-00091,2025-01-20,North America,United States,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,Enterprise,Online Partner,2,14876.48,26777.66,19339.42,7438.24,0.2778,10.0,5.0,Q1,2025
TX-2024-00092,2025-05-20,Asia-Pacific,Singapore,Cloud Services,AI Training API,Qwen API Credits,Enterprise,Online Partner,24,10.18,244.32,48.96,195.36,0.7996,0.0,4.6,Q2,2025
TX-2024-00093,2024-08-24,Europe,United Kingdom,Cloud Services,AI Training API,Qwen API Credits,Enterprise,Distributor,14,10.11,134.46,28.28,106.18,0.7897,5.0,3.8,Q3,2024
TX-2024-00094,2024-05-07,North America,Canada,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,Mid-Market,Direct Sales,6,15296.77,38788.59,59657.4,-20868.81,-0.538,57.7,5.0,Q2,2024
TX-2024-00095,2026-03-31,North America,United States,Cloud Services,Compute Clusters,AMD GPU Node Hour,SMB,Direct Sales,329,2.45,765.75,404.67,361.08,0.4715,5.0,5.0,Q1,2026
TX-2024-00096,2024-10-18,Asia-Pacific,Japan,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,Enterprise,Direct Sales,1,15199.38,13679.44,9879.6,3799.84,0.2778,10.0,5.0,Q4,2024
TX-2024-00097,2025-02-09,Asia-Pacific,Japan,Enterprise Solutions,Security Systems,Network Shield Pro,Enterprise,Online Partner,17,583.85,9925.45,3473.95,6451.5,0.65,0.0,4.1,Q1,2025
TX-2024-00098,2025-04-26,Europe,Germany,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Enterprise,Direct Sales,12,200.17,2281.94,1921.68,360.26,0.1579,5.0,3.1,Q2,2025
TX-2024-00099,2026-03-27,North America,Canada,Enterprise Solutions,AI Software,ExecuDeck Core,SMB,Online Partner,17,460.07,7430.13,1955.34,5474.79,0.7368,5.0,4.3,Q1,2026
TX-2024-00100,2025-12-27,Asia-Pacific,Singapore,Consumer Hardware,GPU Accelerators,Radeon RX 7900 XTX,SMB,Direct Sales,22,1010.58,22232.76,16007.64,6225.12,0.28,0.0,4.7,Q4,2025
TX-2024-00101,2025-02-04,North America,United States,Enterprise Solutions,AI Software,ExecuDeck Core,Mid-Market,Direct Sales,7,444.53,2800.54,777.91,2022.63,0.7222,10.0,4.4,Q1,2025
TX-2024-00102,2025-12-27,Asia-Pacific,Australia,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,Government,Distributor,3,15130.09,43120.76,29503.68,13617.08,0.3158,5.0,4.6,Q4,2025
TX-2024-00103,2024-05-10,Asia-Pacific,Singapore,Consumer Hardware,GPU Accelerators,Radeon RX 7900 XTX,Mid-Market,Direct Sales,18,1001.3,17122.23,12976.92,4145.31,0.2421,5.0,5.0,Q2,2024
TX-2024-00104,2024-06-09,Asia-Pacific,India,Consumer Hardware,GPU Accelerators,Radeon RX 7900 XTX,Government,Direct Sales,3,970.3,2765.35,2095.86,669.49,0.2421,5.0,4.5,Q2,2024
TX-2024-00105,2024-09-01,Europe,Italy,Cloud Services,Compute Clusters,AMD GPU Node Hour,Government,Distributor,1120,2.48,2777.6,1388.8,1388.8,0.5,0.0,5.0,Q3,2024
TX-2024-00106,2025-11-19,North America,Canada,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Enterprise,Distributor,9,193.53,1741.77,1393.38,348.39,0.2,0.0,2.4,Q4,2025
TX-2024-00107,2024-12-09,North America,United States,Enterprise Solutions,AI Software,ExecuDeck Core,Government,Online Partner,10,463.02,4398.69,1157.5,3241.19,0.7369,5.0,4.1,Q4,2024
TX-2024-00108,2024-03-02,Europe,United Kingdom,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,SMB,Direct Sales,1,15134.68,14377.95,9837.54,4540.41,0.3158,5.0,4.6,Q1,2024
TX-2024-00109,2024-08-05,North America,Canada,Enterprise Solutions,AI Software,Qwen Enterprise Suite,SMB,Direct Sales,16,1179.58,17929.62,5661.92,12267.7,0.6842,5.0,4.3,Q3,2024
TX-2024-00110,2026-01-22,North America,Canada,Cloud Services,AI Training API,Qwen API Credits,Mid-Market,Online Partner,4,10.19,40.76,8.16,32.6,0.7998,0.0,5.0,Q1,2026
TX-2024-00111,2024-12-22,North America,United States,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,Enterprise,Direct Sales,2,15410.09,24656.14,20033.12,4623.02,0.1875,20.0,5.0,Q4,2024
TX-2024-00112,2024-02-09,Latin America,Brazil,Consumer Hardware,GPU Accelerators,Radeon RX 7900 XTX,Enterprise,Direct Sales,8,1010.73,8085.84,5821.84,2264.0,0.28,0.0,5.0,Q1,2024
TX-2024-00113,2024-11-18,North America,Canada,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Mid-Market,Distributor,27,203.4,5491.8,4393.44,1098.36,0.2,0.0,3.2,Q4,2024
TX-2024-00114,2026-03-26,Asia-Pacific,Australia,Enterprise Solutions,Security Systems,ROCm Guard AI,Enterprise,Distributor,7,834.15,5255.14,2335.62,2919.52,0.5556,10.0,4.7,Q1,2026
TX-2024-00115,2025-03-01,North America,United States,Enterprise Solutions,AI Software,Qwen Enterprise Suite,Enterprise,Distributor,9,1223.91,4324.48,3304.53,1019.95,0.2359,60.7,4.5,Q1,2025
TX-2024-00116,2024-02-15,North America,United States,Consumer Hardware,Workstations,ROCm Dev Station,Mid-Market,Direct Sales,4,3566.92,14267.68,9702.04,4565.64,0.32,0.0,4.5,Q1,2024
TX-2024-00117,2026-04-10,North America,United States,Cloud Services,AI Training API,Qwen API Credits,Government,Direct Sales,5,9.74,48.7,9.75,38.95,0.7998,0.0,4.4,Q2,2026
TX-2024-00118,2025-02-04,Europe,United Kingdom,Cloud Services,Storage Nodes,Secure Vault S3,Enterprise,Direct Sales,5440,0.05,258.4,108.8,149.6,0.5789,5.0,3.5,Q1,2025
TX-2024-00119,2024-01-29,North America,Canada,Enterprise Solutions,Security Systems,Network Shield Pro,Enterprise,Distributor,20,598.05,11961.0,4186.4,7774.6,0.65,0.0,4.7,Q1,2024
TX-2024-00120,2024-04-08,Europe,France,Enterprise Solutions,Security Systems,Network Shield Pro,Mid-Market,Distributor,3,609.82,1829.46,640.32,1189.14,0.65,0.0,3.4,Q2,2024
TX-2024-00121,2025-07-23,Asia-Pacific,Australia,Cloud Services,Storage Nodes,Secure Vault S3,SMB,Direct Sales,19175,0.05,862.88,383.5,479.38,0.5556,10.0,4.0,Q3,2025
TX-2024-00122,2025-08-06,North America,United States,Cloud Services,Compute Clusters,AMD GPU Node Hour,Government,Online Partner,398,2.52,1002.96,501.48,501.48,0.5,0.0,4.7,Q3,2025
TX-2024-00123,2025-07-11,Europe,Germany,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Enterprise,Direct Sales,5,199.7,998.5,798.8,199.7,0.2,0.0,3.5,Q3,2025
TX-2024-00124,2025-12-26,Europe,United Kingdom,Cloud Services,AI Training API,Qwen API Credits,Mid-Market,Direct Sales,25,9.71,242.75,48.5,194.25,0.8002,0.0,5.0,Q4,2025
TX-2024-00125,2025-06-27,Asia-Pacific,Japan,Enterprise Solutions,AI Software,Qwen Enterprise Suite,Government,Online Partner,23,1217.94,28012.62,8403.74,19608.88,0.7,0.0,4.3,Q2,2025
TX-2024-00126,2024-02-15,North America,Canada,Enterprise Solutions,Analytics Tools,InsightEngine Pro,Mid-Market,Direct Sales,8,339.71,2717.68,815.28,1902.4,0.7,0.0,4.3,Q1,2024
TX-2024-00127,2025-08-11,North America,Canada,Enterprise Solutions,Security Systems,ROCm Guard AI,Enterprise,Distributor,19,866.39,16461.41,6584.64,9876.77,0.6,0.0,4.0,Q3,2025
TX-2024-00128,2026-05-21,Europe,France,Consumer Hardware,Workstations,ROCm Dev Station,Government,Online Partner,3,3508.67,9999.71,7157.7,2842.01,0.2842,5.0,4.9,Q2,2026
TX-2024-00129,2024-11-13,Europe,France,Consumer Hardware,GPU Accelerators,Radeon RX 7900 XTX,Enterprise,Distributor,32,996.14,30282.66,22951.04,7331.62,0.2421,5.0,5.0,Q4,2024
TX-2024-00130,2026-05-23,Europe,Germany,Enterprise Solutions,AI Software,ExecuDeck Core,Enterprise,Direct Sales,14,453.13,6026.63,1585.92,4440.71,0.7368,5.0,4.8,Q2,2026
TX-2024-00131,2024-11-04,Asia-Pacific,Australia,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Enterprise,Direct Sales,9,204.93,1383.28,1475.46,-92.18,-0.0666,25.0,3.4,Q4,2024
TX-2024-00132,2025-12-14,Europe,United Kingdom,Enterprise Solutions,Security Systems,Network Shield Pro,Enterprise,Direct Sales,18,588.27,7941.64,3706.02,4235.62,0.5333,25.0,4.3,Q4,2025
